Order_ID,Date,Product,Category,Region,Sales,Quantity,Profit,Customer_Segment
1001,2024-01-05,Laptop,Electronics,North,75000,2,15000,Corporate
1002,2024-01-08,Chair,Furniture,South,12000,5,2400,Consumer
1003,2024-01-12,Mobile,Electronics,East,45000,3,9000,Corporate
1004,2024-01-15,Desk,Furniture,West,18000,2,3600,Home Office
1005,2024-01-20,Tablet,Electronics,North,32000,4,6400,Consumer
1006,2024-01-22,Printer,Electronics,South,22000,3,4400,Corporate
1007,2024-01-25,Sofa,Furniture,East,35000,1,7000,Consumer
1008,2024-02-02,Laptop,Electronics,West,80000,2,16000,Corporate
1009,2024-02-05,Keyboard,Electronics,North,8000,10,1600,Consumer
1010,2024-02-10,Bookshelf,Furniture,South,9500,3,1900,Home Office
1011,2024-02-14,Monitor,Electronics,East,28000,4,5600,Corporate
1012,2024-02-18,Mobile,Electronics,West,48000,3,9600,Consumer
1013,2024-02-22,Headphones,Electronics,North,12000,6,2400,Consumer
1014,2024-02-25,Wardrobe,Furniture,South,42000,1,8400,Home Office
1015,2024-03-01,Laptop,Electronics,East,72000,2,14400,Corporate
1016,2024-03-05,Mouse,Electronics,West,3500,15,700,Consumer
1017,2024-03-10,Dining Table,Furniture,North,25000,1,5000,Home Office
1018,2024-03-15,Tablet,Electronics,South,35000,4,7000,Corporate
1019,2024-03-20,Speaker,Electronics,East,15000,5,3000,Consumer
1020,2024-03-25,Bed,Furniture,West,55000,1,11000,Home Office
1021,2024-04-02,Laptop,Electronics,North,78000,2,15600,Corporate
1022,2024-04-05,Mobile,Electronics,South,46000,3,9200,Consumer
1023,2024-04-10,Chair,Furniture,East,11000,4,2200,Consumer
1024,2024-04-15,Printer,Electronics,West,23000,3,4600,Corporate
1025,2024-04-20,Monitor,Electronics,North,29000,4,5800,Corporate
1026,2024-04-25,Tablet,Electronics,South,33000,4,6600,Consumer
1027,2024-04-28,Sofa,Furniture,East,38000,1,7600,Home Office
1028,2024-05-03,Keyboard,Electronics,West,7500,10,1500,Consumer
1029,2024-05-08,Laptop,Electronics,North,82000,2,16400,Corporate
1030,2024-05-12,Bookshelf,Furniture,South,10000,3,2000,Consumer
1031,2024-05-16,Headphones,Electronics,East,13000,6,2600,Consumer
1032,2024-05-20,Wardrobe,Furniture,West,44000,1,8800,Home Office
1033,2024-05-24,Mobile,Electronics,North,50000,3,10000,Corporate
1034,2024-05-28,Speaker,Electronics,South,16000,5,3200,Consumer
1035,2024-06-03,Dining Table,Furniture,East,27000,1,5400,Home Office
1036,2024-06-08,Tablet,Electronics,West,36000,4,7200,Corporate
1037,2024-06-12,Laptop,Electronics,North,76000,2,15200,Corporate
1038,2024-06-16,Chair,Furniture,South,13000,5,2600,Consumer
1039,2024-06-20,Monitor,Electronics,East,30000,4,6000,Corporate
1040,2024-06-25,Bed,Furniture,West,58000,1,11600,Home Office
